date,price
2019-01-02,2510.0
2019-01-03,2447.9
2019-01-04,2531.9
2019-01-07,2549.7
2019-01-08,2574.4
2019-01-09,2585.0
2019-01-10,2596.6
2019-01-11,2596.3
2019-01-14,2582.6
2019-01-15,2610.3
2019-01-16,2616.1
2019-01-17,2636.0
2019-01-18,2670.7
2019-01-22,2632.9
2019-01-23,2638.7
2019-01-24,2642.3
2019-01-25,2664.8
2019-01-28,2643.8
2019-01-29,2640.0
2019-01-30,2681.1
2019-01-31,2704.1
2019-02-01,2706.5
2019-02-04,2724.9
2019-02-05,2737.7
2019-02-06,2731.6
2019-02-07,2706.1
2019-02-08,2707.9
2019-02-11,2709.8
2019-02-12,2744.7
2019-02-13,2753.0
2019-02-14,2745.7
2019-02-15,2775.6
2019-02-19,2779.8
2019-02-20,2784.7
2019-02-21,2774.9
2019-02-22,2792.7
2019-02-25,2796.1
2019-02-26,2793.9
2019-02-27,2792.4
2019-02-28,2784.5
2019-03-01,2803.7
2019-03-04,2792.8
2019-03-05,2789.7
2019-03-06,2771.4
2019-03-07,2748.9
2019-03-08,2743.1
2019-03-11,2783.3
2019-03-12,2791.5
2019-03-13,2810.9
2019-03-14,2808.5
2019-03-15,2822.5
2019-03-18,2832.9
2019-03-19,2832.6
2019-03-20,2824.2
2019-03-21,2854.9
2019-03-22,2800.7
2019-03-25,2798.4
2019-03-26,2818.5
2019-03-27,2805.4
2019-03-28,2815.4
2019-03-29,2834.4
2019-04-01,2867.2
2019-04-02,2867.2
2019-04-03,2873.4
2019-04-04,2879.4
2019-04-05,2892.7
2019-04-08,2895.8
2019-04-09,2878.2
2019-04-10,2888.2
2019-04-11,2888.3
2019-04-12,2907.4
2019-04-15,2905.6
2019-04-16,2907.1
2019-04-17,2900.4
2019-04-18,2905.0
2019-04-22,2908.0
2019-04-23,2933.7
2019-04-24,2927.2
2019-04-25,2926.2
2019-04-26,2939.9
2019-04-29,2943.0
2019-04-30,2945.8
2019-05-01,2923.7
2019-05-02,2917.5
2019-05-03,2945.6
2019-05-06,2932.5
2019-05-07,2884.1
2019-05-08,2879.4
2019-05-09,2870.7
2019-05-10,2881.4
2019-05-13,2811.9
2019-05-14,2834.4
2019-05-15,2851.0
2019-05-16,2876.3
2019-05-17,2859.5
2019-05-20,2840.2
2019-05-21,2864.4
2019-05-22,2856.3
2019-05-23,2822.2
2019-05-24,2826.1
2019-05-28,2802.4
2019-05-29,2783.0
2019-05-30,2788.9
2019-05-31,2752.1
2019-06-03,2744.4
2019-06-04,2803.3
2019-06-05,2826.2
2019-06-06,2843.5
2019-06-07,2873.3
2019-06-10,2886.7
2019-06-11,2885.7
2019-06-12,2879.8
2019-06-13,2891.6
2019-06-14,2887.0
2019-06-17,2889.7
2019-06-18,2917.8
2019-06-19,2926.5
2019-06-20,2954.2
2019-06-21,2950.5
2019-06-24,2945.3
2019-06-25,2917.4
2019-06-26,2913.8
2019-06-27,2924.9
2019-06-28,2941.8
2019-07-01,2964.3
2019-07-02,2973.0
2019-07-03,2995.8
2019-07-05,2990.4
2019-07-08,2975.9
2019-07-09,2979.6
2019-07-10,2993.1
2019-07-11,2999.9
2019-07-12,3013.8
2019-07-15,3014.3
2019-07-16,3004.0
2019-07-17,2984.4
2019-07-18,2995.1
2019-07-19,2976.6
2019-07-22,2985.0
2019-07-23,3005.5
2019-07-24,3019.6
2019-07-25,3003.7
2019-07-26,3025.9
2019-07-29,3021.0
2019-07-30,3013.2
2019-07-31,2980.4
2019-08-01,2953.6
2019-08-02,2932.1
2019-08-05,2844.7
2019-08-06,2881.8
2019-08-07,2884.0
2019-08-08,2938.1
2019-08-09,2918.7
2019-08-12,2883.8
2019-08-13,2926.3
2019-08-14,2840.6
2019-08-15,2847.6
2019-08-16,2888.7
2019-08-19,2923.7
2019-08-20,2900.5
2019-08-21,2924.4
2019-08-22,2922.9
2019-08-23,2847.1
2019-08-26,2878.4
2019-08-27,2869.2
2019-08-28,2887.9
2019-08-29,2924.6
2019-08-30,2926.5
2019-09-03,2906.3
2019-09-04,2937.8
2019-09-05,2976.0
2019-09-06,2978.7
2019-09-09,2978.4
2019-09-10,2979.4
2019-09-11,3000.9
2019-09-12,3009.6
2019-09-13,3007.4
2019-09-16,2998.0
2019-09-17,3005.7
2019-09-18,3006.7
2019-09-19,3006.8
2019-09-20,2992.1
2019-09-23,2991.8
2019-09-24,2966.6
2019-09-25,2984.9
2019-09-26,2977.6
2019-09-27,2961.8
2019-09-30,2976.7
2019-10-01,2940.2
2019-10-02,2887.6
2019-10-03,2910.6
2019-10-04,2952.0
2019-10-07,2938.8
2019-10-08,2893.1
2019-10-09,2919.4
2019-10-10,2938.1
2019-10-11,2970.3
2019-10-14,2966.2
2019-10-15,2995.7
2019-10-16,2989.7
2019-10-17,2997.9
2019-10-18,2986.2
2019-10-21,3006.7
2019-10-22,2996.0
2019-10-23,3004.5
2019-10-24,3010.3
2019-10-25,3022.6
2019-10-28,3039.4
2019-10-29,3036.9
2019-10-30,3046.8
2019-10-31,3037.6
2019-11-01,3066.9
2019-11-04,3078.3
2019-11-05,3074.6
2019-11-06,3076.8
2019-11-07,3085.2
2019-11-08,3093.1
2019-11-11,3087.0
2019-11-12,3091.8
2019-11-13,3094.0
2019-11-14,3096.6
2019-11-15,3120.5
2019-11-18,3122.0
2019-11-19,3120.2
2019-11-20,3108.5
2019-11-21,3103.5
2019-11-22,3110.3
2019-11-25,3133.6
2019-11-26,3140.5
2019-11-27,3153.6
2019-11-29,3141.0
2019-12-02,3113.9
2019-12-03,3093.2
2019-12-04,3112.8
2019-12-05,3117.4
2019-12-06,3145.9
2019-12-09,3136.0
2019-12-10,3132.5
2019-12-11,3141.6
2019-12-12,3168.6
2019-12-13,3168.8
2019-12-16,3191.4
2019-12-17,3192.5
2019-12-18,3191.1
2019-12-19,3205.4
2019-12-20,3221.2
2019-12-23,3224.0
2019-12-24,3223.4
2019-12-26,3239.9
2019-12-27,3240.0
2019-12-30,3221.3
2019-12-31,3230.8
2020-01-02,3257.8
2020-01-03,3234.8
2020-01-06,3246.3
2020-01-07,3237.2
2020-01-08,3253.1
2020-01-09,3274.7
2020-01-10,3265.3
2020-01-13,3288.1
2020-01-14,3283.2
2020-01-15,3289.3
2020-01-16,3316.8
2020-01-17,3329.6
2020-01-21,3320.8
2020-01-22,3321.8
2020-01-23,3325.5
2020-01-24,3295.5
2020-01-27,3243.6
2020-01-28,3276.2
2020-01-29,3273.4
2020-01-30,3283.7
2020-01-31,3225.5
2020-02-03,3248.9
2020-02-04,3297.6
2020-02-05,3334.7
2020-02-06,3345.8
2020-02-07,3327.7
2020-02-10,3352.1
2020-02-11,3357.8
2020-02-12,3379.4
2020-02-13,3373.9
2020-02-14,3380.2
2020-02-18,3370.3
2020-02-19,3386.2
2020-02-20,3373.2
2020-02-21,3337.8
2020-02-24,3225.9
2020-02-25,3128.2
2020-02-26,3116.4
